,Publisher,count,Source_new
3764,Bollettino della Società italiana di biologia sperimentale,566,Bollettino della Società italiana di biologia sperimentale
3765,Bollettino della Unione Matematica Italiana A,284,Bollettino della Unione Matematica Italiana A
3766,Bollettino della Unione Matematica Italiana B,306,Bollettino della Unione Matematica Italiana B
3767,Bollettino di Archeologia,7,others
3768,Bollettino di Geodesia e Scienze Affini,32,Bollettino di Geodesia e Scienze Affini
3769,Bollettino di Geofisica Teorica ed Applicata,271,Bollettino di Geofisica Teorica ed Applicata
3770,Bollettino di Oceanologia Teorica ed Applicata,51,Bollettino di Oceanologia Teorica ed Applicata
3771,Bollettino di Oceanologia Teorioca ed Applicata,1,others
3772,Bollettino di Oceanologica Teorica ed Applicata,1,others
3773,Bollettino di Psichiatria Biologica,1,others
3774,Bollettino di Storia delle Scienze Matematiche,11,Bollettino di Storia delle Scienze Matematiche
3775,Bollettino di geofisica teorica ed applicata,1,others
3776,Bollettino e Memorie della Societa Piemontese di Chirurgia,49,Bollettino e Memorie della Societa Piemontese di Chirurgia
3777,Bollettino e Memorie della Societa Tosco-Umbra di Chirurgia,53,Bollettino e Memorie della Societa Tosco-Umbra di Chirurgia
3778,"Bollettino, Societa Paleontologica Italiana",4,others
3779,Bone,222,Bone
3780,Bone Marrow Transplantation,308,Bone Marrow Transplantation
3781,Bone and Joint Research,1,others
3782,Bone and Mineral,50,Bone and Mineral
3783,Bone marrow transplantation,8,others
3784,Bononia University Press,274,Bononia University Press
3785,Boom Uitgevers,2,others
3786,Boreal Environment Research,6,others
3787,Boreas,7,others
3788,Borsa Istanbul Anonim Sirketi,2,others
3789,Bosque,5,others
3790,Boston University Creative Writing Program,1,others
3791,Botanica Acta,22,Botanica Acta
3792,Botanica Complutensis,3,others
3793,Botanica Helvetica,10,others
3794,Botanica Marina,70,Botanica Marina
3795,Botanical Journal of the Linnean Society,67,Botanical Journal of the Linnean Society
3796,Botanical Review,1,others
3797,Botanical Society of America Inc.,11,Botanical Society of America Inc.
3798,Botanical Society of Japan,2,others
3799,Botanical Society of Korea,1,others
3800,Botanical Studies,2,others
3801,Botanischer Garten und Botanisches Museum Berlin-Dahlem,27,Botanischer Garten und Botanisches Museum Berlin-Dahlem
3802,Botany,13,Botany
3803,Bottom Line,1,others
3804,Boundary Value Problems,23,Boundary Value Problems
3805,Boundary-Layer Meteorology,63,Boundary-Layer Meteorology
3806,Brachytherapy,3,others
3807,Brain,258,Brain
3808,Brain Behavior and Immunity,8,others
3809,Brain Cell Biology,5,others
3810,Brain Communications,1,others
3811,Brain Connectivity,1,others
3812,Brain Dysfunction,14,Brain Dysfunction
3813,Brain Imaging and Behavior,5,others
3814,Brain Pathology,45,Brain Pathology
3815,Brain Research,1300,Brain Research
3816,Brain Research Bulletin,340,Brain Research Bulletin
3817,Brain Research Journal,2,others
3818,Brain Research Protocols,31,Brain Research Protocols
3819,Brain Research Reviews,2,others
3820,Brain Sciences,1,others
3821,Brain Stimulation,39,Brain Stimulation
3822,Brain Structure and Function,14,Brain Structure and Function
3823,Brain Topography,38,Brain Topography
3824,Brain and Behavior,5,others
3825,Brain and Cognition,106,Brain and Cognition
3826,Brain and Development,215,Brain and Development
3827,Brain and Language,96,Brain and Language
3828,Brain and cognition,1,others
3829,Brain research,1,others
3830,Brain structure & function,1,others
3831,"Brain, Behavior and Evolution",21,"Brain, Behavior and Evolution"
3832,"Brain, Behavior, and Immunity",34,"Brain, Behavior, and Immunity"
3833,"Brain, behavior and evolution",3,others
3834,Bratislava Medical Journal,5,others
3835,Bratislavské lekárske listy,2,others
3836,Braybrooke Press,2,others
3837,"Braz Soc Mech Sci, Rio de Janeiro",2,others
3838,Brazilain Coll Veterinary Parasitology,8,others
3839,Brazilian Archives of Biology and Technology,2,others
3840,Brazilian Association of Computational Mechanics,17,Brazilian Association of Computational Mechanics
3841,Brazilian Association of Sleep and Latin American Federation of Sleep Societies,2,others
3842,Brazilian Association of Veterinary Pathology,1,others
3843,Brazilian Dental Journal,1,others
3844,Brazilian Institute for Information in Science and Technology,6,others
3845,Brazilian Journal of Biology,1,others
3846,Brazilian Journal of Epilepsy and Clinical Neurophysiology,1,others
3847,Brazilian Journal of Genetics,16,Brazilian Journal of Genetics
3848,Brazilian Journal of Infectious Diseases,4,others
3849,Brazilian Journal of Microbiology,4,others
3850,Brazilian Journal of Oceanography,2,others
3851,Brazilian Journal of Physics,10,others
3852,Brazilian Journal of Political Economy,2,others
3853,Brazilian Journal of Probability and Statistics,3,others
3854,Brazilian Journal of Veterinary Pathology,2,others
3855,Brazilian Journal of Water Resources,1,others
3856,Brazilian Microelectronics Society,3,others
3857,Brazilian Society of Anatomy,1,others
3858,Brazilian Society of Mechanical Sciences and Engineering,2,others
3859,Brazilian Society of Parasitology,2,others
3860,Brazilian Society of Plant Breeding,2,others
3861,Brazilian Society of Urology,59,Brazilian Society of Urology
3862,Brazilian Statistical Association,16,Brazilian Statistical Association
3863,Brazilian Symposium of Computer Graphic and Image Processing,1,others
3864,Brazilian journal of anesthesiology (Elsevier),1,others
3865,Brazilian oral research,1,others
3866,Breast,10,others
3867,Breast Cancer,2,others
3868,Breast Cancer Research,42,Breast Cancer Research
3869,Breast Cancer Research and Treatment,245,Breast Cancer Research and Treatment
3870,Breast Care,2,others
3871,Breast Disease,10,others
3872,Breast Diseases Senologia,2,others
3873,Breast Journal,37,Breast Journal
3874,Breast cancer research : BCR,1,others
3875,Breastfeeding Medicine,4,others
3876,Breathe,5,others
3877,Breeding Science,1,others
3878,Brepols Publishers,370,Brepols Publishers
3879,Bridge Structures,11,Bridge Structures
3880,Bridgewater State College,5,others
3881,Bridging Eastern and Western Psychiatry,1,others
3882,Bridging Tourism Theory and Practice,1,others
3883,Brief Treatment and Crisis Intervention,1,others
3884,Briefings in Bioinformatics,35,Briefings in Bioinformatics
3885,Briefings in Functional Genomics,5,others
3886,Briefings in Functional Genomics and Proteomics,2,others
3887,Briefings in bioinformatics,2,others
3888,Brieflands,19,Brieflands
3889,Brill Academic Publishers,714,Brill Academic Publishers
3890,Brill Nijhoff,88,Brill Nijhoff
3891,Brill Rodopi,13,Brill Rodopi
3892,Bristol University Press,22,Bristol University Press
3893,British Accounting Review,2,others
3894,British Agricultural History Society,1,others
3895,British Arachnological Society,4,others
3896,British Birds,1,others
3897,British Birds Ltd,1,others
3898,British Cactus and Succulent Society,4,others
3899,British Ceramic Transactions,2,others
3900,British Computer Society,3,others
3901,British Corrosion Journal,38,British Corrosion Journal
3902,British Dental Journal,8,others
3903,British Ecological Society,58,British Ecological Society
3904,British Editorial Society of Bone and Joint Surgery,80,British Editorial Society of Bone and Joint Surgery
3905,British Educational Research Journal,1,others
3906,British Equine Veterinary Association,19,British Equine Veterinary Association
3907,British Food Journal,51,British Food Journal
3908,British Heart Journal,26,British Heart Journal
3909,British Herpetological Society,21,British Herpetological Society
3910,"British Inst of Non-Destructive Testing, Northampton, United Kingdom",1,others
3911,British Institute of Non-Destructive Testing,7,others
3912,British Institute of Persian Studies,2,others
3913,British Institute of Radiology,195,British Institute of Radiology
3914,British Interplanetary Society,8,others
3915,British Journal for the History of Philosophy,10,others
3916,British Journal for the History of Science,2,others
3917,British Journal for the Philosophy of Science,2,others
3918,British Journal of Addiction,4,others
3919,British Journal of Anaesthesia,1,others
3920,British Journal of Applied Physics,2,others
3921,British Journal of Audiology,15,British Journal of Audiology
3922,British Journal of Cancer,725,British Journal of Cancer
3923,British Journal of Cardiology,2,others
3924,British Journal of Clinical Pharmacology,101,British Journal of Clinical Pharmacology
3925,"British Journal of Clinical Pharmacology, Supplement",1,others
3926,British Journal of Clinical Practice,20,British Journal of Clinical Practice
3927,British Journal of Clinical Psychology,5,others
3928,British Journal of Community Justice,1,others
3929,British Journal of Criminology,1,others
3930,British Journal of Dermatology,427,British Journal of Dermatology
3931,British Journal of Developmental Psychology,28,British Journal of Developmental Psychology
3932,British Journal of Diabetes and Vascular Disease,2,others
3933,British Journal of Educational Psychology,9,others
3934,British Journal of Educational Technology,15,British Journal of Educational Technology
3935,British Journal of Experimental Pathology,12,British Journal of Experimental Pathology
3936,British Journal of General Practice,2,others
3937,British Journal of Guidance and Counselling,4,others
3938,British Journal of Haematology,1320,British Journal of Haematology
3939,British Journal of Health Psychology,2,others
3940,British Journal of Industrial Medicine,44,British Journal of Industrial Medicine
3941,British Journal of Industrial Relations,6,others
3942,British Journal of Management,1,others
3943,British Journal of Mathematical and Statistical Psychology,4,others
3944,British Journal of Medical Economics,1,others
3945,British Journal of Medical Practitioners,1,others
3946,British Journal of Medical Psychology,7,others
3947,British Journal of Music Education,1,others
3948,British Journal of Neurosurgery,23,British Journal of Neurosurgery
3949,British Journal of Nutrition,164,British Journal of Nutrition
3950,British Journal of Obstetrics and Gynaecology,18,British Journal of Obstetrics and Gynaecology
3951,British Journal of Occupational Therapy,1,others
3952,British Journal of Ophthalmology,136,British Journal of Ophthalmology
3953,British Journal of Oral Surgery,1,others
3954,British Journal of Oral and Maxillofacial Surgery,49,British Journal of Oral and Maxillofacial Surgery
3955,British Journal of Pharmacology,873,British Journal of Pharmacology
3956,British Journal of Pharmacology and Chemotherapy,19,British Journal of Pharmacology and Chemotherapy
3957,British Journal of Plastic Surgery,18,British Journal of Plastic Surgery
3958,British Journal of Political Science,2,others
3959,British Journal of Politics and International Relations,1,others
3960,British Journal of Preventive and Social Medicine,1,others
3961,British Journal of Psychiatry,54,British Journal of Psychiatry
3962,British Journal of Psychology,14,British Journal of Psychology
3963,British Journal of Psychotherapy,3,others
3964,British Journal of Radiology,48,British Journal of Radiology
3965,British Journal of Rheumatology,5,others
3966,British Journal of Social Psychology,27,British Journal of Social Psychology
3967,British Journal of Social Work,4,others
3968,British Journal of Sociology,3,others
3969,British Journal of Special Education,1,others
3970,British Journal of Sports Medicine,47,British Journal of Sports Medicine
3971,British Journal of Surgery,148,British Journal of Surgery
3972,British Journal of Tuberculosis and Diseases of the Chest,1,others
3973,British Journal of Urology,143,British Journal of Urology
3974,British Journal of Venereal Diseases,3,others
3975,British Leprosy Relief Association,1,others
3976,British Medical Bulletin,13,British Medical Bulletin
3977,British Medical Journal,99,British Medical Journal
3978,British Medical Journal (Clinical research ed.),28,British Medical Journal (Clinical research ed.)
3979,British Ornithologist's Club,2,others
3980,British Ornithologists' Union,9,others
3981,British Phycological Journal,2,others
3982,British Polymer Journal,6,others
3983,British Poultry Science,23,British Poultry Science
3984,British Psychological Society,16,British Psychological Society
3985,British Pteridological Society,1,others
3986,"British Soc Strain Meas, Guildford",4,others
3987,British Society for Strain Measurement,6,others
3988,British Society of Developmental Disabilities,1,others
3989,British Telecommunications Engineering,4,others
3990,British Trust for Ornithology,11,British Trust for Ornithology
3991,British Veterinary Association,202,British Veterinary Association
3992,British Veterinary Journal,5,others
3993,British Wildlife,1,others
3994,British ceramic. Transactions and journal,1,others
3995,British journal of haematology,1,others
3996,British journal of orthodontics,2,others
3997,Brittonia,7,others
3998,Brno Studies in English,1,others
3999,Brno University of Technology,1,others
4000,Brodarski Institute,6,others
4001,Brookings Institution Press,2,others
4002,Brookings-Wharton Papers on Urban Affairs,1,others
4003,"Brown Univ, Providence",4,others
4004,Brown University,65,Brown University
4005,Brukenthal National Museum,4,others
4006,Bryologist,4,others
4007,Bucharest University of Economic Studies,1,others
4008,Budapest Tech Polytechnical Institution,19,Budapest Tech Polytechnical Institution
4009,Budapest University of Technology and Economics,40,Budapest University of Technology and Economics
4010,Buffalo Bulletin,2,others
4011,Buffalo Law Review,1,others
4012,Building Acoustics,18,Building Acoustics
4013,Building Research & Information,1,others
4014,Building Research and Information,3,others
4015,Building Services Engineering Research & Technology,1,others
4016,Building Services Engineering Research and Technology,2,others
4017,Building Simulation,11,Building Simulation
4018,Building and Environment,110,Building and Environment
4019,Building research & practice,1,others
4020,Built Environment,3,others
4021,Built Environment Project and Asset Management,2,others
4022,Bulgarian Academy of Sciences,45,Bulgarian Academy of Sciences
4023,"Bulgarian Academy of Sciences, Institute of Mechanics",20,"Bulgarian Academy of Sciences, Institute of Mechanics"
4024,Bulgarian Chemical Communications,1,others
4025,Bulgarian Journal of Agricultural Science,2,others
4026,Bulgarian Medical Society of Hematology,9,others
4027,Bulgarian Society for Microbiology (Union of Scientists in Bulgaria),2,others
4028,Bulgarian-American Center,1,others
4029,Bulgarska Akademiya na Naukite,8,others
4030,Bulgarska Akademiya na Naukite 1,3,others
4031,Bulk Solids Handling,4,others
4032,Bulletin  - Seismological Society of America,1,others
4033,"Bulletin - Centres de Recherche Exploration-Production Elf- Aquitaine,",1,others
4034,Bulletin - Societe Francaise de Photogrammetrie et de Teledetection,5,others
4035,Bulletin - Societe Geologique de France,3,others
4036,Bulletin - Societe Languedocienne de Geographie,1,others
4037,"Bulletin Bureau de Recherches Geologiques et Minieres, Section IV",2,others
4038,Bulletin Géodésique,3,others
4039,Bulletin Géodésique New Series,1,others
4040,Bulletin Hispanique,1,others
4041,Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,15,Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie
4042,Bulletin Societe Geologique de France,1,others
4043,Bulletin Trimestrel de las Societe Geologique de Normandie et des Amis de Museum du Havre,1,others
4044,Bulletin Volcanologique,70,Bulletin Volcanologique
4045,Bulletin d'Association de Geographes Francais,1,others
4046,Bulletin de Medecine Legale Urgence Medicale Centre Anti-Poisons,1,others
4047,Bulletin de Mineralogie,10,others
4048,Bulletin de Méthodologie Sociologique,3,others
4049,Bulletin de l'Académie nationale de médecine,1,others
4050,Bulletin de l'Association des Anatomistes,25,Bulletin de l'Association des Anatomistes
4051,Bulletin de l'Association des anatomistes,5,others
4052,"Bulletin de l'Institut Royal des Sciences Naturelles de Belqique, Sciences de la Terre",1,others
4053,Bulletin de l'Office International des Epizooties,1,others
4054,Bulletin de la Societe Belge d'Ophtalmologie,5,others
4055,Bulletin de la Societe Botanique de France,3,others
4056,Bulletin de la Societe Botanique de France. Actualites Botaniques,3,others
4057,Bulletin de la Societe Botanique de France. Lettres Botaniques,1,others
4058,Bulletin de la Societe Chimique de France,5,others
4059,Bulletin de la Societe Geologique de France,18,Bulletin de la Societe Geologique de France
4060,Bulletin de la Societe Mathematique de France,4,others
4061,Bulletin de la Societe Royale des Sciences de Liege,3,others
4062,Bulletin de la Societe Zoologique de France,6,others
4063,Bulletin de la Societe de Pathologie Exotique,4,others
4064,Bulletin de la Societe de Pathologie Exotique et de ses Filiales,8,others
4065,Bulletin de la Societe des Sciences Medicales du Grand-Duche de Luxembourg,1,others
4066,Bulletin de la Société belge d'ophtalmologie,2,others
4067,Bulletin de la Société de pathologie exotique (1990),3,others
4068,Bulletin des Bibliotheques de France,1,others
4069,Bulletin des Centres de Recherches Exploration-Production Elf- Aquitaine,1,others
4070,Bulletin des Laboratoires des Ponts et Chaussees,4,others
4071,Bulletin des Laboratories des Ponts et Chaussees,1,others
4072,Bulletin des Sciences Mathematiques,29,Bulletin des Sciences Mathematiques
4073,Bulletin des Sociétés Chimiques Belges,45,Bulletin des Sociétés Chimiques Belges
4074,"Bulletin des societes d""ophtalmologie de France",1,others
4075,Bulletin du Cancer,14,Bulletin du Cancer
4076,Bulletin du Cancer/Radiotherapie,1,others
4077,Bulletin du Groupement International pour la Recherche Scientifique en Stomatologie et Odontologie,6,others
4078,Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie,43,Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie
4079,Bulletin du Groupèment international pour la recherche scientifique en stomatologie & odontologie,1,others
4080,Bulletin et mémoires de l'Académie royale de médecine de Belgique,1,others
4081,Bulletin fuer Angewandte Geologie,1,others
4082,Bulletin of Alloy Phase Diagrams,4,others
4083,Bulletin of Canadian Petroleum Geology,3,others
4084,Bulletin of Earthquake Engineering,144,Bulletin of Earthquake Engineering
4085,Bulletin of Economic Research,39,Bulletin of Economic Research
4086,Bulletin of Electrochemistry,1,others
4087,Bulletin of Engineering Geology and the Environment,36,Bulletin of Engineering Geology and the Environment
4088,Bulletin of Entomological Research,37,Bulletin of Entomological Research
4089,Bulletin of Environmental Contamination and Toxicology,85,Bulletin of Environmental Contamination and Toxicology
4090,Bulletin of Experimental Biology and Medicine,2,others
4091,Bulletin of Geophysics and Oceanography,12,Bulletin of Geophysics and Oceanography
4092,Bulletin of Geosciences,9,others
4093,Bulletin of Hispanic Studies,2,others
4094,Bulletin of Insectology,236,Bulletin of Insectology
4095,Bulletin of Latin American Research,4,others
4096,Bulletin of Marine Science,13,Bulletin of Marine Science
4097,Bulletin of Mathematical Biology,24,Bulletin of Mathematical Biology
4098,Bulletin of Molecular Biology and Medicine,97,Bulletin of Molecular Biology and Medicine
4099,Bulletin of Symbolic Logic,3,others
4100,Bulletin of Volcanology,188,Bulletin of Volcanology
4101,Bulletin of the American Mathematical Society,19,Bulletin of the American Mathematical Society
4102,Bulletin of the American Meteorological Society,19,Bulletin of the American Meteorological Society
4103,Bulletin of the American Society for Information Science and Technology,2,others
4104,Bulletin of the American Society of Papyrologists,2,others
4105,Bulletin of the Astronomical Society of India,2,others
4106,Bulletin of the Australian Mathematical Society,68,Bulletin of the Australian Mathematical Society
4107,Bulletin of the Belgian Mathematical Society - Simon Stevin,9,others
4108,Bulletin of the Brazilian Mathematical Society,14,Bulletin of the Brazilian Mathematical Society
4109,Bulletin of the Chemical Society of Ethiopia,3,others
4110,Bulletin of the Chemical Society of Japan,8,others
4111,Bulletin of the European Association of Fish Pathologists,29,Bulletin of the European Association of Fish Pathologists
4112,Bulletin of the Geological Society of America,85,Bulletin of the Geological Society of America
4113,Bulletin of the History of Medicine,1,others
4114,Bulletin of the Hospital for Joint Diseases Orthopaedic Institute,2,others
4115,Bulletin of the Institute of Classical Studies,13,Bulletin of the Institute of Classical Studies
4116,Bulletin of the International Association of Engineering Geology - Bulletin de l'Association Internationale de Géologie de l'Ingénieur,31,Bulletin of the International Association of Engineering Geology - Bulletin de l'Association Internationale de Géologie de l'Ingénieur
4117,Bulletin of the International Union Against Tuberculosis and Lung Disease,1,others
4118,Bulletin of the International Union against Tuberculosis,3,others
4119,Bulletin of the Iranian Mathematical Society,2,others
4120,Bulletin of the Korean Chemical Society,4,others
4121,Bulletin of the Korean Mathematical Society,9,others
4122,Bulletin of the Lebedev Physics Institute,1,others
4123,Bulletin of the London Mathematical Society,13,Bulletin of the London Mathematical Society
4124,Bulletin of the Malaysian Mathematical Sciences Society,3,others
4125,Bulletin of the Medical Library Association,1,others
4126,Bulletin of the Menninger Clinic,1,others
4127,Bulletin of the NYU Hospital for Joint Diseases,3,others
4128,Bulletin of the Pan American Health Organization,1,others
4129,Bulletin of the Polish Academy of Sciences: Chemistry,1,others
4130,Bulletin of the Polish Academy of Sciences: Technical Sciences,9,others
4131,Bulletin of the Psychonomic Society,23,Bulletin of the Psychonomic Society
4132,Bulletin of the Russian Academy of Sciences: Physics,59,Bulletin of the Russian Academy of Sciences: Physics
4133,Bulletin of the School of Oriental and African Studies,1,others
4134,Bulletin of the Seismological Society of America,135,Bulletin of the Seismological Society of America
4135,Bulletin of the Veterinary Institute in Pulawy,1,others
4136,Bulletin of the World Health Organization,23,Bulletin of the World Health Organization
4137,Bulletin on Narcotics,11,Bulletin on Narcotics
4138,"Bulletin, Bureau de Recherches Geologiques et Minieres, Section II",1,others
4139,"Bulletin, Geological Survey of Finland",1,others
4140,Bulletin: Hospital for Joint Diseases,13,Bulletin: Hospital for Joint Diseases
4141,Bulletins et Memoires de la Societe Francaise d'Ophtalmologie,9,others
4142,Bulletins et Memoires de la Societe d'Anthropologie de Paris,2,others
4143,Bullettino della Commissione Archeologica Comunale di Roma,1,others
4144,Bundesanstalt fur Zuchtungsforschung an Kulturpflanzen,77,Bundesanstalt fur Zuchtungsforschung an Kulturpflanzen
4145,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,1,others
4146,Bundesinstitut fur Bevolkerungsforschung,6,others
4147,Bureau d'Information Medicale (A.M.U.B.) asbl,1,others
4148,Bureau of the WAT,1,others
4149,Burlington Magazine Publications Ltd.,1,others
4150,Burns,54,Burns
4151,Bursa Uludag University,1,others
4152,Business Communication Quarterly,1,others
4153,Business Ethics,2,others
4154,Business History,1,others
4155,Business Horizons,4,others
4156,Business Information Review,1,others
4157,Business Press Ltd.,1,others
4158,Business Process Management Journal,17,Business Process Management Journal
4159,Business Strategy Review,3,others
4160,Business Strategy and the Environment,10,others
4161,Business and Politics,5,others
4162,"Butterworth-Heinemann Ltd, Oxford",5,others
4163,"Butterworth-Heinemann Ltd, Oxford, United Kingdom",2,others
4164,Byzantine and Modern Greek Studies,1,others
4165,Byzantinische Zeitschrift,2,others
4166,Byzantion: Revue Internationale des Etudes Byzantines,4,others
4167,C R C Critical Reviews in Environmental Control,1,others
4168,C e Ca,18,C e Ca
4169,C.H.BECK oHG,4,others
4170,CAB International,33,CAB International
4171,"CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources",1,others
4172,CABI International,8,others
4173,CABI Publishing,1,others
4174,CAD Computer Aided Design,34,CAD Computer Aided Design
4175,"CAD Solutions, LLC",88,"CAD Solutions, LLC"
4176,CAH.MED.,5,others
4177,CAH.MED.LYON.,1,others
4178,CAIRN Belgique,1,others
4179,CALCOLO,20,CALCOLO
4180,CAM Editrice Roma,1,others
4181,CANAD.J.OTOLARYNGOL.,2,others
4182,CANCER CHEMOTHER.REP.,2,others
4183,CANCER TREAT.REP.,1,others
4184,CARNETS ENF.,1,others
4185,CBS-KNAW Fungal Biodiversity Centre,2,others
4186,CCAMLR Science,3,others
4187,CCC Publications,4,others
4188,CEAS Space Journal,1,others
4189,CEDDAR,4,others
4190,CEDEC,4,others
4191,CEERS,1,others
4192,CELOM,1,others
4193,CEM Casa Editrice Maccari,3,others
4194,CEPI s.r.l.,29,CEPI s.r.l.
4195,CERN,27,CERN
4196,CESER Publications,9,others
4197,CESifo DICE Report,6,others
4198,CESifo Economic Studies,18,CESifo Economic Studies
4199,CESifo Forum,6,others
4200,CEU Ediciones,1,others
4201,CEUR Workshop Proceedings,5,others
4202,CFD Letters,1,others
4203,CFI Ceramic Forum International,3,others
4204,CFS Courier Forschungsinstitut Senckenberg,6,others
4205,CHAM - Centre for the Humanities (NOVA FCSH—UAc),1,others
4206,CHEM. ENGNG. COMMUN.,1,others
4207,CHEMOTHERAPY,5,others
4208,CHEMTECH,9,others
4209,CHEST,1,others
4210,CHIM.THER.,3,others
4211,CHIR.TRIV.,32,CHIR.TRIV.
4212,CHIRURGIA,4,others
4213,CHRONOBIOLOGIA,1,others
4214,CI and CEQ,6,others
4215,CIBA Foundation Symposia,3,others
4216,CIBER Institute,6,others
4217,CIC Edizioni Internazionali s.r.l.,1185,CIC Edizioni Internazionali s.r.l.
4218,CIDOB (Barcelona centre for international affairs),4,others
4219,CIFI Collegio Ingegneri Ferroviari Italiani,124,CIFI Collegio Ingegneri Ferroviari Italiani
4220,"CIFI, Italy",2,others
4221,"CIFI, Rome, Italy",4,others
4222,CIM Bulletin,2,others
4223,CIRAD,1,others
4224,CIRIEC,1,others
4225,CIRP Annals - Manufacturing Technology,163,CIRP Annals - Manufacturing Technology
4226,CIRP Journal of Manufacturing Science and Technology,13,CIRP Journal of Manufacturing Science and Technology
4227,"CIT, La Serena, Chile",6,others
4228,CIVIL ENGINEERING $-$ Italy,1,others
4229,CLAO Journal,3,others
4230,CLCWeb - Comparative Literature and Culture,3,others
4231,CLIN. ORTHOP.,20,CLIN. ORTHOP.
4232,CLIN. PEDIATR.,1,others
4233,CLIN.INVEST.GINEC.OBSTET.,2,others
4234,CLIN.ORTHOP.,1,others
4235,CLIN.OSTET.GINEC.,2,others
4236,CLUTE Institute,4,others
4237,CMES - Computer Modeling in Engineering and Sciences,96,CMES - Computer Modeling in Engineering and Sciences
4238,CNRS Editions,14,CNRS Editions
4239,CNS & neurological disorders drug targets,1,others
4240,CNS Drugs,14,CNS Drugs
4241,CNS Neuroscience and Therapeutics,8,others
4242,CNS Spectrums,4,others
4243,CNS and Neurological Disorders - Drug Targets,16,CNS and Neurological Disorders - Drug Targets
4244,CNS oncology,1,others
4245,CNS spectrums,1,others
4246,COLLECT.ANN.INST.PASTEUR,3,others
4247,COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,215,COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering
4248,COMPEL - The international journal for computation and mathematics in electrical and electronic engineering,17,COMPEL - The international journal for computation and mathematics in electrical and electronic engineering
4249,COMPEL: The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,2,others
4250,COMPOST SCI. LAND UTIL.,1,others
4251,CONCAWE Reports,1,others
4252,CONFIN. NEUROL.,1,others
4253,CONFIN.NEUROL.,2,others
4254,CONICET - Emiliano Aldegani,2,others
4255,COPD Foundation,3,others
4256,COPD: Journal of Chronic Obstructive Pulmonary Disease,13,COPD: Journal of Chronic Obstructive Pulmonary Disease
4257,CORNELL VET.,2,others
4258,CPEM Digest (Conference on Precision Electromagnetic Measurements),11,CPEM Digest (Conference on Precision Electromagnetic Measurements)
4259,CPT: Pharmacometrics and Systems Pharmacology,2,others
4260,CRC Press,13,CRC Press
4261,CRC Press LLC,12,CRC Press LLC
4262,"CRC Press LLC, Boca Raton",2,others
4263,CRC Press/Balkema,1,others
4264,"CREA-DC, Research Centre for Plant Protection and Certification",65,"CREA-DC, Research Centre for Plant Protection and Certification"
4265,CRL Publishing,8,others
4266,"CRL Publishing Ltd, Aldershot, United Kingdom",1,others
4267,"CRL Publishing Ltd, Leicestershire, United Kingdom",1,others
4268,CSELT Technical Reports,61,CSELT Technical Reports
4269,CSIC Consejo Superior de Investigaciones Cientificas,254,CSIC Consejo Superior de Investigaciones Cientificas
4270,CSIC Consejo Superior de Investigaciones Cientificas 2,61,CSIC Consejo Superior de Investigaciones Cientificas 2
4271,CSIRO,352,CSIRO
4272,"CSIRO, East Melbourne",1,others
4273,CTBUH Journal,1,others
4274,CUBE Srl,2,others
4275,CVGIP: Graphical Models and Image Processing,2,others
4276,CVGIP: Image Understanding,7,others
4277,CYTA - Journal of Food,12,CYTA - Journal of Food
4278,CYTOLOGIA,14,CYTOLOGIA
4279,Ca Foscari University Department of Philosophy and Cultural Heritage,3,others
4280,Caceres Theological Institute - Universidad Francisco de Vitoria - Universidad de Extremadura,2,others
4281,"Cactus and Succulent Society of America, Inc.",4,others
4282,Cadernos CEDES,2,others
4283,Cadernos de Saude Publica,1,others
4284,"Cadernos de saúde pública / Ministério da Saúde, Fundação Oswaldo Cruz, Escola Nacional de Saúde Pública",2,others
4285,Cadmo,70,Cadmo
4286,Cahiers Critiques de Therapie Familiale et de Pratiques de Reseaux,10,others
4287,Cahiers Geographiques de Rouen,1,others
4288,Cahiers Naturalistes,2,others
4289,Cahiers Sante,1,others
4290,Cahiers Victoriens and Edouardiens,1,others
4291,"Cahiers d""anesthesiologie",2,others
4292,Cahiers d'Anesthesiologie,9,others
4293,Cahiers d'Informations Techniques - Revue de Metallurgie,1,others
4294,Cahiers de Biologie Marine,25,Cahiers de Biologie Marine
4295,Cahiers de Civilisation Medievale,2,others
4296,Cahiers de Psychologie Cognitive,10,others
4297,Cahiers de Recherches Medievales,16,Cahiers de Recherches Medievales
4298,Cahiers de l'Annee Gerontologique,2,others
4299,Cahiers de l'Association Internationale des Etudes Francaises,6,others
4300,Cahiers de sociologie et de démographie médicales,2,others
4301,Cahiers des Etudes Anciennes,2,others
4302,"Cahners Publ Co, Des Plaines, IL, United States",1,others
4303,Cailiao Rechuli Xuebao/Transactions of Materials and Heat Treatment,1,others
4304,Cailiao Yanjiu Xuebao/Chinese Journal of Materials Research,1,others
4305,Cairn France,6,others
